labelPer_x,labelPer_y,periodsActivity_x,periodsActivity_y,sum_edu_empl,sum_all_rel,orgs_number_edu,orgs_labels_edu,orgs_number_empl,orgs_labels_empl,orgs_number_memb,orgs_labels_memb,person_uri_x,person_uri_y
Alfred Sauvy,Raymond Aron,1921-1945,1946-1970,2,4,0,,2,Collège de France|L'Express,2,American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q13524,http://www.wikidata.org/entity/Q160640
James G. March,James Samuel Coleman,1971-1995,1971-1995,1,4,0,,1,Stanford University,3,National Academy of Sciences|American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q1352604,http://www.wikidata.org/entity/Q1681079
James G. March,Philip Converse,1971-1995,1971-1995,1,4,0,,1,Stanford University,3,National Academy of Sciences|American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q1352604,http://www.wikidata.org/entity/Q2086156
James G. March,Robert K. Merton,1971-1995,1946-1970,0,4,0,,0,,4,National Academy of Sciences|Royal Swedish Academy of Sciences|American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q1352604,http://www.wikidata.org/entity/Q312843
Robert Neelly Bellah,Neil Smelser,1971-1995,1971-1995,2,4,1,Harvard University,1,"University of California, Berkeley",2,American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q1353651,http://www.wikidata.org/entity/Q713936
George Murdock,Harold Lasswell,1921-1945,1946-1970,2,4,1,Yale University,1,Yale University,2,National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q1361073,http://www.wikidata.org/entity/Q314462
George Murdock,Ralph Linton,1921-1945,1921-1945,2,4,0,,2,Columbia University|Yale University,2,National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q1361073,http://www.wikidata.org/entity/Q720118
Pierre Bourdieu,Alain Touraine,1971-1995,1946-1970,3,4,2,Lycée Louis-le-Grand|École Normale Supérieure,1,School for Advanced Studies in the Social Sciences,1,American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q156268,http://www.wikidata.org/entity/Q333686
Harrison White,Peter Blau,1971-1995,1946-1970,2,4,0,,2,Columbia University|University of Chicago,2,American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1586301,http://www.wikidata.org/entity/Q215834
Harrison White,Shmuel Eisenstadt,1971-1995,1946-1970,2,4,0,,2,Harvard University|University of Chicago,2,American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1586301,http://www.wikidata.org/entity/Q677793
Harrison White,Nathan Keyfitz,1971-1995,1946-1970,2,4,0,,2,Harvard University|University of Chicago,2,American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1586301,http://www.wikidata.org/entity/Q6969175
Harrison White,Charles Tilly,1971-1995,1971-1995,2,4,0,,2,Columbia University|Harvard University,2,American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1586301,http://www.wikidata.org/entity/Q717635
Heinz Fassmann,Wolfgang Lutz,1996-2020,1996-2020,2,4,1,University of Vienna,1,University of Vienna,2,Academia Europaea|Austrian Academy of Sciences,http://www.wikidata.org/entity/Q1600191,http://www.wikidata.org/entity/Q2590485
